ëŒã«é“,èÍïó,ã«êî,ñ{èÍ,ãüëı,é©ïó,éùÇøì_,ÉhÉâ,one,two,three,four,five,six,seven,eight,nine,ten,eleven,twelve,thirteen,ã«é˚éx,é˚éxîÕàÕ,ÉcÉÇ,ÉçÉì,ó¨ã«,ÉäÅ[É`,ÉäÅ[É`èÑñ⁄,ïõòI,É_É},ÉAÉKÉäèÑñ⁄,îN,åé,ì˙,ééçá
ì°çË,ìå,2,3,3,ìå,25500,27,12,12,13,17,18,19,21,23,24,27,27,28,37,-5300,-2,1,,,1,6,,,,2020,10,12,1
îííπ,ìå,2,3,3,ìÏ,23500,27,1,4,5,9,12,13,14,21,27,33,34,34,35,-2300,-1,1,,,,,,,,2020,10,12,1
äùêX,ìå,2,3,3,êº,24500,27,2,9,22,23,25,27,29,31,31,33,36,37,37,12900,2,1,,,,,2,,15,2020,10,12,1
ë∫è„,ìå,3,0,0,êº,23200,27,3,9,9,11,12,19,19,25,27,29,29,31,33,0,-1,,,,,,,,,2020,10,12,1
ì°çË,ìå,3,0,0,ñk,18200,27,2,8,14,16,17,18,19,22,22,23,24,34,35,9000,2,,1,,,,1,,13,2020,10,12,1
îííπ,ìå,3,0,0,ìå,20200,27,1,3,10,6,14,17,24,30,28,28,31,34,35,-1000,-1,,,,1,8,,,,2020,10,12,1
äùêX,ìå,3,0,0,ìÏ,38400,27,8,13,18,19,22,22,23,24,28,29,33,35,36,-8000,-2,,1,,,,,,,2020,10,12,1
ë∫è„,ìå,4,0,0,ìÏ,21200,,3,6,8,8,11,11,13,16,18,22,27,29,36,8000,2,1,,,,,2,,11,2020,10,12,1
ì°çË,ìå,4,0,0,êº,29200,,2,3,3,8,11,12,13,16,23,27,32,35,36,-2000,-1,1,,,,,,,,2020,10,12,1
îííπ,ìå,4,0,0,ñk,20200,,4,5,5,9,15,21,23,25,28,33,34,34,37,-2000,-1,1,,,,,,,,2020,10,12,1
äùêX,ìå,4,0,0,ìå,29400,,9,11,14,17,21,23,24,26,31,32,33,35,37,-4000,-2,1,,,,,,,,2020,10,12,1
ë∫è„,ìÏ,1,0,0,ìå,29200,36,3,4,6,6,7,7,7,11,15,19,23,25,27,0,-1,,,1,,,,,,2020,10,12,1
ì°çË,ìÏ,1,0,0,ìÏ,27200,36,2,3,4,5,8,9,12,20,16,25,27,36,37,0,-1,,,1,,,,,,2020,10,12,1
îííπ,ìÏ,1,0,0,êº,18200,36,1,3,8,9,18,21,24,26,29,29,31,32,36,0,-1,,,1,,,,,,2020,10,12,1
äùêX,ìÏ,1,0,0,ñk,25400,36,1,1,2,7,9,11,14,17,17,19,23,26,31,0,-1,,,1,,,,,,2020,10,12,1
ë∫è„,ìÏ,2,1,0,ñk,29200,19,2,4,8,9,11,13,14,16,16,18,22,28,34,-1000,-1,,,1,,,,,,2020,10,12,1
ì°çË,ìÏ,2,1,0,ìå,27200,19,2,3,7,8,9,15,15,18,23,24,24,34,36,-1000,-1,,,1,,,,,,2020,10,12,1
îííπ,ìÏ,2,1,0,ìÏ,18200,19,1,11,12,16,19,21,22,24,25,27,31,32,35,-1000,-1,,,1,,,,,,2020,10,12,1
äùêX,ìÏ,2,1,0,ñk,25400,19,1,5,6,14,18,21,21,22,22,26,27,29,29,2000,1,,,1,1,6,,,,2020,10,12,1
ë∫è„,ìÏ,3,2,1,êº,28200,21,1,4,9,16,16,17,19,28,29,31,32,35,35,-1000,-1,,,1,,,,,,2020,10,12,1
ì°çË,ìÏ,3,2,1,ñk,26200,21,3,5,10,11,12,15,18,18,19,22,32,34,35,-1000,-1,,,1,,,,,,2020,10,12,1
îííπ,ìÏ,3,2,1,ìå,17200,21,1,1,2,2,20,16,19,24,26,27,29,36,37,2000,1,,,1,1,10,1,,,2020,10,12,1
äùêX,ìÏ,3,2,1,ìÏ,27400,21,2,7,7,9,13,16,17,25,25,27,28,33,33,-1000,-1,,,1,,,,,,2020,10,12,1
ë∫è„,ìÏ,3,3,2,êº,27200,22,1,3,4,7,14,16,21,22,25,25,26,31,33,-1300,-1,1,,,,,,,,2020,10,12,1
ì°çË,ìÏ,3,3,2,ñk,25200,22,10,8,9,12,13,15,15,16,18,19,26,27,34,-1300,-1,1,,,,,,,,2020,10,12,1
îííπ,ìÏ,3,3,2,ìå,19200,22,3,4,5,9,12,20,22,23,28,29,31,31,32,5900,2,1,,,,,2,,11,2020,10,12,1
äùêX,ìÏ,3,3,2,ìÏ,26400,22,1,2,6,8,11,19,24,27,28,29,31,35,36,-1300,-1,1,,,,,,,,2020,10,12,1
ë∫è„,ìÏ,3,4,0,êº,25900,35,4,5,8,9,9,16,16,17,21,22,27,29,35,-1000,-1,,,1,,,,,,2020,10,12,1
ì°çË,ìÏ,3,4,0,ñk,23900,35,1,2,3,8,11,13,16,18,23,24,24,26,28,-1000,-1,,,1,,,2,,,2020,10,12,1
îííπ,ìÏ,3,4,0,ìå,25100,35,1,8,11,12,14,17,18,19,21,24,25,32,33,3000,1,,,1,,,1,,,2020,10,12,1
äùêX,ìÏ,3,4,0,ìÏ,25100,35,5,6,9,12,13,14,15,28,29,31,32,34,35,-1000,-1,,,1,,,,,,2020,10,12,1
ë∫è„,ìÏ,3,5,0,êº,24900,31,1,5,6,6,12,17,18,23,24,29,31,32,37,0,-1,,,,,,,,,2020,10,12,1
ì°çË,ìÏ,3,5,0,ñk,22900,31,4,10,7,8,14,21,21,22,24,27,28,33,37,0,-1,,,,,,,,,2020,10,12,1
îííπ,ìÏ,3,5,0,ìå,28100,31,1,2,3,8,11,20,16,21,22,26,31,35,36,5400,2,,1,,,,2,,14,2020,10,12,1
äùêX,ìÏ,3,5,0,ìÏ,24100,31,4,5,8,12,13,17,18,25,28,29,34,35,36,-5400,-2,,1,,1,9,,,,2020,10,12,1
ë∫è„,ìÏ,3,6,0,êº,24900,9,4,4,6,7,11,12,16,17,22,23,23,27,29,6700,2,,1,,1,10,,,13,2020,10,12,1
ì°çË,ìÏ,3,6,0,ñk,22900,9,2,11,15,18,27,29,29,33,34,35,35,36,37,0,-1,,,,,,,,,2020,10,12,1
îííπ,ìÏ,3,6,0,ìå,33500,9,1,6,7,9,13,14,15,17,22,23,31,31,33,-6700,-2,,1,,1,7,,,,2020,10,12,1
äùêX,ìÏ,3,6,0,ìÏ,18700,9,1,2,3,3,12,14,16,21,22,27,29,34,36,0,-1,,,,,,,,,2020,10,12,1
ë∫è„,ìÏ,4,0,0,ìÏ,31600,13,3,4,5,10,8,8,9,11,15,17,17,25,26,0,-1,,,,,,1,,,2020,10,12,1
ì°çË,ìÏ,4,0,0,êº,22900,13,2,12,16,16,21,23,25,26,31,32,34,35,35,0,-1,,,,,,,,,2020,10,12,1
îííπ,ìÏ,4,0,0,ñk,26800,12,5,5,6,9,14,14,16,19,21,22,31,33,36,-7700,-2,,1,,,,,,,2020,10,12,1
äùêX,ìÏ,4,0,0,ìå,18700,12,3,7,8,17,22,23,27,27,27,32,34,36,36,7700,2,,1,,1,5,,,7,2020,10,12,1
ë∫è„,ìÏ,4,1,0,ìÏ,31600,9,1,1,3,5,8,12,16,29,31,31,33,34,35,-1500,-1,,,1,,,,,,2020,10,12,1
ì°çË,ìÏ,4,1,0,êº,22900,9,1,4,4,7,7,7,9,12,16,21,22,26,32,-1500,-1,,,1,,,1,,,2020,10,12,1
îííπ,ìÏ,4,1,0,ñk,19100,9,3,5,8,9,14,15,17,18,19,23,23,32,37,500,1,,,1,1,10,,,,2020,10,12,1
äùêX,ìÏ,4,1,0,ìå,26400,9,2,3,6,6,11,17,17,24,24,25,25,30,35,500,1,,,1,1,10,,,,2020,10,12,1
ë∫è„,ìÏ,4,2,2,ìÏ,30100,4,1,12,13,13,22,24,26,27,27,28,31,32,37,3600,1,,1,,,,1,,13,2020,10,12,1
ì°çË,ìÏ,4,2,2,êº,21400,4,2,3,3,4,8,14,18,19,23,31,31,36,37,0,-1,,,,,,,,,2020,10,12,1
îííπ,ìÏ,4,2,2,ñk,19600,4,2,3,6,8,9,12,14,15,16,21,24,25,27,-1600,-1,,1,,,,,,,2020,10,12,1
äùêX,ìÏ,4,2,2,ìå,26900,4,5,10,7,8,9,17,21,23,25,33,33,35,36,0,-1,,,,,,1,,,2020,10,12,1
ëΩà‰,ìå,1,0,0,ìå,25000,26,5,6,8,12,14,16,16,25,26,28,32,33,37,-6000,-2,1,,,,,1,,,2020,10,12,2
òaãví√,ìå,1,0,0,ìÏ,25000,26,4,6,9,11,14,16,26,28,29,32,32,34,37,-3000,-1,1,,,,,,,,2020,10,12,2
çÇã{,ìå,1,0,0,êº,25000,26,1,3,11,11,20,19,19,21,27,28,28,29,31,-3000,-1,1,,,,,,,,2020,10,12,2
óÈñÿ,ìå,1,0,0,ñk,25000,26,2,3,4,7,8,9,16,22,22,27,28,35,37,12000,2,1,,,1,9,,,10,2020,10,12,2
ëΩà‰,ìå,2,0,0,ñk,19000,16,1,1,4,4,6,19,26,29,33,33,36,37,37,5200,2,,1,,,,2,,6,2020,10,12,2
òaãví√,ìå,2,0,0,ìå,22000,16,9,9,13,20,18,21,22,22,29,33,34,35,37,-5200,-2,,1,,,,1,,,2020,10,12,2
çÇã{,ìå,2,0,0,ìÏ,22000,16,2,4,5,17,22,23,24,24,26,29,31,32,34,0,-1,,,,,,,,,2020,10,12,2
óÈñÿ,ìå,2,0,0,êº,37000,16,6,8,8,11,12,16,18,22,24,27,28,32,36,0,-1,,,,,,,,,2020,10,12,2
ëΩà‰,ìå,3,0,0,êº,24200,26,3,5,6,7,11,14,17,17,19,21,26,29,32,0,-1,,,,,,,,,2020,10,12,2
òaãví√,ìå,3,0,0,ñk,16800,26,1,2,3,11,12,15,21,21,26,28,29,36,37,-8000,-2,,1,,,,1,,,2020,10,12,2
çÇã{,ìå,3,0,0,ìå,22000,26,4,10,7,9,11,22,23,25,32,33,33,35,37,0,-1,,,,,,,,,2020,10,12,2
óÈñÿ,ìå,3,0,0,ìÏ,37000,26,2,3,6,7,13,20,16,19,24,26,28,32,33,8000,2,,1,,,,,1,9,2020,10,12,2
ëΩà‰,ìå,4,0,0,ìÏ,24200,29,1,8,9,22,22,23,24,25,33,36,36,36,37,1300,1,,1,,,,,1,8,2020,10,12,2
òaãví√,ìå,4,0,0,êº,8800,29,3,4,4,13,14,17,19,24,30,28,33,33,37,0,-1,,,,,,,,,2020,10,12,2
çÇã{,ìå,4,0,0,ñk,22000,29,3,14,15,20,17,17,22,25,27,27,28,33,37,0,-1,,,,,,,,,2020,10,12,2
óÈñÿ,ìå,4,0,0,ìå,45000,29,2,7,12,15,17,22,26,29,32,34,35,35,37,-1300,-1,,1,,,,,,,2020,10,12,2
ëΩà‰,ìÏ,1,0,0,ìå,25500,22,1,12,13,15,15,20,16,16,22,22,32,33,36,19000,2,1,,,1,11,,,15,2020,10,12,2
òaãví√,ìÏ,1,0,0,ìÏ,8800,22,2,3,7,8,9,11,11,21,21,26,27,27,36,-6000,-2,1,,,,,,,,2020,10,12,2
çÇã{,ìÏ,1,0,0,êº,22000,22,2,3,4,14,15,17,19,24,28,29,33,34,36,-7000,-2,1,,,1,7,,,,2020,10,12,2
óÈñÿ,ìÏ,1,0,0,ñk,43700,22,5,7,8,12,14,18,18,26,28,28,33,35,37,-6000,-2,1,,,,,1,,,2020,10,12,2
ëΩà‰,ìÏ,1,1,0,ìå,44500,3,1,2,4,8,9,21,22,30,27,29,32,34,37,500,1,,,1,1,5,,,,2020,10,12,2
òaãví√,ìÏ,1,1,0,ìÏ,2800,3,4,8,11,12,14,16,19,31,34,36,36,37,37,-1500,-1,,,1,,,,,,2020,10,12,2
çÇã{,ìÏ,1,1,0,êº,15000,3,2,3,6,9,13,13,15,16,22,23,29,31,36,-1500,-1,,,1,,,,,,2020,10,12,2
óÈñÿ,ìÏ,1,1,0,ñk,37700,3,3,3,16,17,18,22,23,24,25,26,27,27,35,500,1,,,1,1,2,,,,2020,10,12,2
ëΩà‰,ìÏ,1,2,2,ìå,45000,8,4,9,9,11,12,13,14,15,20,21,23,26,37,2000,1,,,1,1,6,,,,2020,10,12,2
òaãví√,ìÏ,1,2,2,ìÏ,1300,8,1,6,8,8,16,17,19,19,22,30,26,31,35,-1000,-1,,,1,,,,,,2020,10,12,2
çÇã{,ìÏ,1,2,2,êº,13500,8,3,6,7,8,14,17,19,23,24,27,27,32,36,-1000,-1,,,1,,,,,,2020,10,12,2
óÈñÿ,ìÏ,1,2,2,ñk,38200,8,3,4,7,13,15,18,19,21,23,26,27,34,36,-1000,-1,,,1,,,,,,2020,10,12,2
ëΩà‰,ìÏ,1,3,3,ìå,47000,22,9,12,12,12,16,21,23,26,27,33,34,35,37,17500,2,1,,,1,16,,,18,2020,10,12,2
òaãví√,ìÏ,1,3,3,ìÏ,300,22,2,4,6,9,12,13,14,15,16,17,19,22,33,-5500,-2,1,,,1,10,1,,,2020,10,12,2
çÇã{,ìÏ,1,3,3,êº,12500,22,7,7,8,11,11,20,17,21,22,23,24,28,37,-4500,-2,1,,,,,,,,2020,10,12,2
óÈñÿ,ìÏ,1,3,3,ñk,37200,22,2,3,5,6,6,6,8,11,24,25,29,29,31,-4500,-2,1,,,,,,,,2020,10,12,2
ëΩà‰,ìÏ,1,4,0,ìå,63900,18,4,6,7,9,14,14,16,17,19,25,36,36,36,-5400,-2,1,,,1,10,,,,2020,10,12,2
òaãví√,ìÏ,1,4,0,ìÏ,-5000,18,6,11,11,11,15,18,18,24,28,28,33,36,37,-2400,-1,1,,,,,,,,2020,10,12,2
çÇã{,ìÏ,1,4,0,êº,8200,18,8,9,12,17,18,22,23,25,30,26,32,35,35,10200,2,1,,,1,6,,,16,2020,10,12,2
óÈñÿ,ìÏ,1,4,0,ñk,32900,18,1,1,4,12,13,13,15,18,23,28,31,32,33,-2400,-1,1,,,,,,,,2020,10,12,2
ëΩà‰,ìÏ,2,0,0,ñk,58500,8,2,9,11,12,15,20,18,24,31,34,36,36,36,2600,1,,1,,,,,1,12,2020,10,12,2
òaãví√,ìÏ,2,0,0,ìå,-7400,8,2,8,9,17,17,18,19,21,22,27,27,35,37,-2600,-1,,1,,,,,,,2020,10,12,2
çÇã{,ìÏ,2,0,0,ìÏ,18400,8,1,2,7,8,12,12,13,13,18,23,23,25,37,0,-1,,,,,,,,,2020,10,12,2
óÈñÿ,ìÏ,2,0,0,êº,30500,8,1,3,8,9,13,14,16,17,22,24,26,27,32,0,-1,,,,,,,,,2020,10,12,2
ëΩà‰,ìÏ,3,0,0,êº,61100,3,1,6,14,16,16,21,24,24,25,28,28,33,34,-2000,-1,1,,,,,,,,2020,10,12,2
òaãví√,ìÏ,3,0,0,ñk,-10000,3,2,2,5,9,12,13,13,27,29,31,32,34,35,-2000,-1,1,,,,,,,,2020,10,12,2
çÇã{,ìÏ,3,0,0,ìå,18400,3,3,12,14,19,22,30,26,28,29,31,34,36,36,-4000,-2,1,,,,,1,,,2020,10,12,2
óÈñÿ,ìÏ,3,0,0,ìÏ,30500,3,1,2,3,4,5,6,8,9,11,14,15,25,31,8000,2,1,,,1,10,,,15,2020,10,12,2
ëΩà‰,ìÏ,4,0,0,ìÏ,59100,12,1,2,3,4,8,16,17,22,23,24,32,34,37,-6000,-2,1,,,,,,,,2020,10,12,2
òaãví√,ìÏ,4,0,0,êº,-12000,12,1,3,13,13,17,18,21,23,25,31,33,34,35,-7000,-2,1,,,1,13,,,,2020,10,12,2
çÇã{,ìÏ,4,0,0,ñk,14400,12,5,11,11,17,19,22,26,27,27,29,32,34,36,-6000,-2,1,,,,,,,,2020,10,12,2
óÈñÿ,ìÏ,4,0,0,ìå,38500,12,6,7,13,14,14,15,15,15,20,21,30,31,37,19000,2,1,,,1,8,,,14,2020,10,12,2
ëΩà‰,ìÏ,4,1,0,ìÏ,53100,33,1,3,4,9,11,15,18,19,26,29,33,34,36,8300,2,1,,,1,10,,,15,2020,10,12,2
òaãví√,ìÏ,4,1,0,êº,-19000,33,4,7,8,13,21,25,27,28,28,31,33,36,37,-2100,-1,1,,,,,,,,2020,10,12,2
çÇã{,ìÏ,4,1,0,ñk,8400,33,1,2,6,9,13,13,16,18,23,24,29,35,35,-2100,-1,1,,,,,1,,,2020,10,12,2
óÈñÿ,ìÏ,4,1,0,ìå,57500,33,7,11,12,13,17,21,22,23,24,24,34,34,35,-4100,-2,1,,,,,,,,2020,10,12,2
çïëÚ,ìå,1,0,0,ìå,25000,24,4,5,11,11,16,29,29,21,24,30,26,27,31,-6400,-2,,1,,,,,,,2020,10,13,1
èüñî,ìå,1,0,0,ìÏ,25000,24,7,12,15,20,17,18,21,21,25,29,32,34,34,6400,2,,1,,1,6,,,10,2020,10,13,1
ñx,ìå,1,0,0,êº,25000,24,1,2,#N/A,6,8,16,17,18,22,22,27,33,34,0,-1,,,,,,,,,2020,10,13,1
êêå¥,ìå,1,0,0,ñk,25000,24,2,3,4,6,8,9,9,11,23,28,31,32,37,0,-1,,,,,,,,,2020,10,13,1
çïëÚ,ìå,2,0,0,ñk,18600,22,4,7,12,13,14,15,17,18,18,26,35,36,37,-1000,-1,,,1,,,,,,2020,10,13,1
èüñî,ìå,2,0,0,ìå,31400,22,1,10,7,8,11,11,13,14,17,19,23,31,31,-1000,-1,,,1,,,1,,,2020,10,13,1
ñx,ìå,2,0,0,ìÏ,25000,22,4,5,6,8,9,9,11,12,19,23,32,37,37,-1000,-1,,,1,,,1,,,2020,10,13,1
êêå¥,ìå,2,0,0,êº,25000,22,1,3,3,3,7,16,26,27,28,32,32,33,35,2000,1,,,1,1,10,1,,,2020,10,13,1
çïëÚ,ìå,3,1,1,êº,17600,7,7,9,12,12,13,14,15,16,19,21,22,24,27,-6100,-2,1,,,,,,,,2020,10,13,1
èüñî,ìå,3,1,1,ñk,30400,7,1,5,7,7,12,20,17,21,22,25,31,35,36,-6100,-2,1,,,,,,,,2020,10,13,1
ñx,ìå,3,1,1,ìå,24000,7,1,2,3,7,8,16,18,25,30,26,34,36,37,19300,2,1,,,,,,1,9,2020,10,13,1
êêå¥,ìå,3,1,1,ìÏ,27000,7,3,13,15,15,18,18,24,26,28,28,31,35,36,-6100,-2,1,,,,,,,,2020,10,13,1
çïëÚ,ìå,3,2,0,êº,11500,33,4,5,10,14,15,20,17,18,25,28,29,33,36,-1200,-1,1,,,,,,,,2020,10,13,1
èüñî,ìå,3,2,0,ñk,24300,33,5,6,6,11,13,14,21,22,22,23,24,28,35,4600,1,1,,,1,9,,,12,2020,10,13,1
ñx,ìå,3,2,0,ìå,43300,33,1,4,4,7,8,8,9,18,22,24,35,36,37,-2200,-1,1,,,,,1,,,2020,10,13,1
êêå¥,ìå,3,2,0,ìÏ,20900,33,1,6,12,12,13,14,14,19,25,31,33,33,36,-1200,-1,1,,,,,,,,2020,10,13,1
çïëÚ,ìå,4,0,0,ìÏ,10300,8,10,8,9,14,15,17,18,18,23,27,28,29,34,0,-1,,,,,,,,,2020,10,13,1
èüñî,ìå,4,0,0,êº,28900,8,3,4,6,9,11,13,24,25,30,31,31,35,37,9000,2,,1,,,,2,,16,2020,10,13,1
ñx,ìå,4,0,0,ñk,41100,8,1,3,6,7,21,22,23,23,26,26,27,31,34,0,-1,,,,,,,,,2020,10,13,1
êêå¥,ìå,4,0,0,ìå,19700,8,1,1,1,4,6,12,16,21,22,28,32,33,35,-9000,-2,,1,,1,9,,,,2020,10,13,1
çïëÚ,ìÏ,1,0,0,ìå,10300,23,2,2,3,5,9,13,13,14,15,18,19,35,37,12000,2,1,,,,,3,,8,2020,10,13,1
èüñî,ìÏ,1,0,0,ìÏ,37900,23,1,1,2,2,11,18,22,24,25,26,28,29,34,-4000,-2,1,,,,,,,,2020,10,13,1
ñx,ìÏ,1,0,0,êº,41100,23,3,3,6,9,15,18,24,27,28,32,35,36,36,-4000,-2,1,,,,,,,,2020,10,13,1
êêå¥,ìÏ,1,0,0,ñk,10700,23,4,4,8,12,12,20,25,25,27,29,31,31,32,-4000,-2,1,,,,,,,,2020,10,13,1
çïëÚ,ìÏ,1,1,0,ìå,22300,25,2,3,5,7,9,21,26,26,28,31,32,33,34,-1600,-1,,1,,,,,,,2020,10,13,1
èüñî,ìÏ,1,1,0,ìÏ,33900,25,5,8,12,17,18,22,22,23,26,28,29,34,35,1600,1,,1,,,,,,9,2020,10,13,1
ñx,ìÏ,1,1,0,êº,37100,25,3,4,8,14,17,18,24,25,30,27,28,29,32,0,-1,,,,,,,,,2020,10,13,1
êêå¥,ìÏ,1,1,0,ñk,6700,25,1,2,3,7,12,13,16,25,27,31,33,36,37,0,-1,,,,,,,,,2020,10,13,1
çïëÚ,ìÏ,2,0,0,ñk,20700,37,1,5,7,8,12,17,19,19,21,22,26,28,29,-8000,-2,,1,,,,,,,2020,10,13,1
èüñî,ìÏ,2,0,0,ìå,35500,37,7,8,9,11,16,18,22,23,23,28,34,35,37,0,-1,,,,,,1,,,2020,10,13,1
ñx,ìÏ,2,0,0,ìÏ,37100,37,3,10,6,9,20,17,19,24,26,28,33,34,36,9000,2,,1,,,,2,,15,2020,10,13,1
êêå¥,ìÏ,2,0,0,êº,6700,37,1,5,13,14,15,16,18,19,25,31,32,32,37,-1000,-1,,,,1,9,,,,2020,10,13,1
çïëÚ,ìÏ,3,0,0,êº,12700,18,2,2,6,11,16,19,22,27,27,27,32,33,34,-4000,-2,1,,,,,,,,2020,10,13,1
èüñî,ìÏ,3,0,0,ñk,35500,18,5,7,11,13,15,18,21,21,24,25,33,33,35,-4000,-2,1,,,,,,,,2020,10,13,1
ñx,ìÏ,3,0,0,ìå,46100,18,1,1,7,7,9,14,20,17,18,24,25,28,36,12000,2,1,,,1,6,,,12,2020,10,13,1
êêå¥,ìÏ,3,0,0,ìÏ,5700,18,1,5,5,11,12,13,14,15,21,22,24,31,37,-4000,-2,1,,,,,,,,2020,10,13,1
çïëÚ,ìÏ,3,1,0,êº,8700,35,2,4,5,11,11,14,14,15,16,24,24,32,36,4000,1,1,,,1,11,,,15,2020,10,13,1
èüñî,ìÏ,3,1,0,ñk,31500,35,1,2,13,19,19,30,26,28,29,31,33,34,35,-800,-1,1,,,,,1,,,2020,10,13,1
ñx,ìÏ,3,1,0,ìå,58100,35,5,6,7,8,11,15,16,17,21,23,31,37,37,-1400,-1,1,,,,,1,,,2020,10,13,1
êêå¥,ìÏ,3,1,0,ìÏ,1700,35,3,4,10,7,14,17,18,19,23,24,27,29,31,-1800,-1,1,,,1,11,,,,2020,10,13,1
çïëÚ,ìÏ,4,0,0,ìÏ,12700,6,7,7,8,9,12,13,14,14,21,22,23,31,34,-1300,-1,1,,,,,,,,2020,10,13,1
èüñî,ìÏ,4,0,0,êº,30700,6,1,2,5,6,9,11,21,22,23,24,28,28,34,-1300,-1,1,,,,,,,,2020,10,13,1
ñx,ìÏ,4,0,0,ñk,56700,6,1,3,6,6,12,16,18,26,29,33,35,35,37,-1300,-1,1,,,,,,,,2020,10,13,1
êêå¥,ìÏ,4,0,0,ìå,-100,6,3,7,8,22,24,25,26,26,27,27,28,29,34,3900,1,1,,,1,8,,,12,2020,10,13,1
çïëÚ,ìÏ,4,1,0,ìÏ,11400,27,1,2,2,4,5,9,11,11,13,24,24,29,37,0,-1,,,,,,,,,2020,10,13,1
èüñî,ìÏ,4,1,0,êº,29400,27,4,6,6,6,11,12,13,15,17,18,22,25,28,0,-1,,,,,,,,,2020,10,13,1
ñx,ìÏ,4,1,0,ñk,55400,27,1,2,5,7,7,8,14,14,18,27,27,31,33,-4200,-2,,1,,1,8,1,,,2020,10,13,1
êêå¥,ìÏ,4,1,0,ìå,3800,27,2,3,12,12,15,18,21,22,30,28,34,34,36,4200,1,,1,,,,2,,15,2020,10,13,1
çïëÚ,ìÏ,4,2,0,ìÏ,11400,21,4,5,8,9,11,12,16,19,23,25,31,36,37,5500,2,,1,,,,,1,14,2020,10,13,1
èüñî,ìÏ,4,2,0,êº,29400,21,13,14,16,22,22,25,27,28,28,32,35,36,37,-4500,-2,,1,,,,,,,2020,10,13,1
ñx,ìÏ,4,2,0,ñk,51200,21,1,6,7,8,9,13,13,17,17,18,23,23,32,0,-1,,,,,,,,,2020,10,13,1
êêå¥,ìÏ,4,2,0,ìå,8000,21,2,6,12,15,16,19,21,21,24,24,26,26,32,-1000,-1,,,,1,8,,,,2020,10,13,1
â™ìc,ìå,1,0,0,ìå,25000,26,4,6,7,7,8,12,14,15,21,21,23,27,37,-6000,-2,1,,,,,1,,,2020,10,13,2
è¨ó—,ìå,1,0,0,ìÏ,25000,26,1,3,5,11,17,21,22,24,25,28,29,32,37,-3000,-1,1,,,,,,,,2020,10,13,2
èüñî,ìå,1,0,0,êº,25000,26,1,8,13,13,13,15,16,19,31,32,33,34,36,-3000,-1,1,,,,,,,,2020,10,13,2
ê£åÀåF,ìå,1,0,0,ñk,25000,26,2,3,3,9,12,20,17,18,22,27,27,31,35,12000,2,1,,,1,13,,,15,2020,10,13,2
â™ìc,ìå,2,0,0,ñk,19000,14,1,3,8,9,11,12,13,14,16,19,31,32,33,0,-1,,,,,,,,,2020,10,13,2
è¨ó—,ìå,2,0,0,ìå,22000,14,1,2,2,6,7,8,8,11,20,16,24,33,34,12000,2,,1,,,,,,,2020,10,13,2
èüñî,ìå,2,0,0,ìÏ,22000,14,2,5,14,15,15,17,18,19,25,26,29,31,35,-12000,-2,,1,,1,13,,,13,2020,10,13,2
ê£åÀåF,ìå,2,0,0,êº,37000,14,3,4,7,14,24,26,31,32,33,33,34,36,37,0,-1,,,,,,,,,2020,10,13,2
â™ìc,ìå,2,1,0,ñk,19000,22,5,6,11,12,13,17,19,22,24,27,34,35,36,0,-1,,,,,,1,,,2020,10,13,2
è¨ó—,ìå,2,1,0,ìå,34000,22,1,3,5,8,9,11,11,13,14,17,33,34,36,0,-1,,,,,,1,,,2020,10,13,2
èüñî,ìå,2,1,0,ìÏ,10000,22,1,6,7,13,15,20,17,18,24,25,31,35,36,0,-1,,,,,,1,,,2020,10,13,2
ê£åÀåF,ìå,2,1,0,êº,37000,22,2,3,10,9,9,14,15,18,19,19,26,28,37,-1000,-1,,,,1,17,,,,2020,10,13,2
â™ìc,ìå,2,2,1,ñk,19000,17,1,9,11,11,17,22,23,26,26,27,31,32,37,4200,1,,1,,1,8,,,11,2020,10,13,2
è¨ó—,ìå,2,2,1,ìå,34000,17,1,2,6,7,12,12,14,21,22,30,27,28,35,0,-1,,,,,,,,,2020,10,13,2
èüñî,ìå,2,2,1,ìÏ,10000,17,1,3,8,14,15,17,21,29,31,34,36,37,37,-3200,-1,,1,,,,,,,2020,10,13,2
ê£åÀåF,ìå,2,2,1,êº,36000,17,2,3,6,12,13,18,19,19,24,26,28,31,36,0,-1,,,,,,,,,2020,10,13,2
â™ìc,ìå,3,0,0,êº,23200,17,1,2,3,6,7,11,14,16,17,23,28,33,33,3000,1,1,,,,,2,,10,2020,10,13,2
è¨ó—,ìå,3,0,0,ñk,34000,17,9,12,12,13,14,20,18,19,23,26,27,32,35,-500,-1,1,,,,,,,,2020,10,13,2
èüñî,ìå,3,0,0,ìå,6800,17,8,11,13,17,22,22,23,23,32,34,35,35,36,-1000,-1,1,,,,,3,,,2020,10,13,2
ê£åÀåF,ìå,3,0,0,ìÏ,36000,17,1,2,3,6,7,8,8,27,28,29,32,34,37,-1500,-1,1,,,1,9,,,,2020,10,13,2
â™ìc,ìå,4,0,0,ìÏ,26200,26,5,6,9,9,12,16,17,17,24,26,29,36,37,-300,-1,1,,,,,,,,2020,10,13,2
è¨ó—,ìå,4,0,0,êº,33500,26,1,3,4,7,16,16,21,22,25,27,29,34,36,1100,1,1,,,,,,1,17,2020,10,13,2
èüñî,ìå,4,0,0,ñk,5800,26,3,6,11,11,13,14,17,22,23,31,35,35,37,-300,-1,1,,,,,1,,,2020,10,13,2
